,Tweet_Num,Tweet,Sentiment,tokenized_cleaned
257,258,"Stop what you're doing and save: We extended our #MJBizConINTL Early Bird deadline in honor of Canada's #C45 vote,… https://t.co/VlKfEIaYlL",,stop save extended mjbizconintl early bird deadline honor canada vote https
258,259,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
259,260,"RT @JodieEmery: I’m sorry to say I cannot celebrate.

There are now 45 new federal cannabis offences &amp; many harsher penalties under #C45. P…",,jodieemery sorry say celebrate new federal cannabis offences amp many harsher penalties
260,261,RT @CannabisCulture: Don’t believe the #C45 hype: We are still #cannabis criminals! #cdnpoli  https://t.co/GZzc5waeyV,,cannabisculture believe hype still cannabis criminals cdnpoli https
261,262,"RT @mandymcknight: Cannabis becomes legal in Canada on October 17, 2018. This also happens to be the 50th birthday of @ziggymarley the son…",,mandymcknight cannabis becomes legal canada october also happens birthday ziggymarley
262,263,RT @crestview_strat: Catch #TeamCrestviewStrategy Partner @hckosovogta on @PnPCBC right now discussing cannabis legalisation after the pass…,,catch teamcrestviewstrategy partner hckosovogta pnpcbc right discussing cannabis legalisation
263,264,@TheLeafNews So can a medical user grow X amount of plants under Health Canada regs plus Y amount of plants under t… https://t.co/JHu2KFi8Kn,,theleafnews medical user grow amount plants health canada regs plus amount plants https
264,265,"RT @KirkTousaw: I understand and have often commented on the many ways the Cannabis Act is flawed and too restrictive. 

But it still repre…",,kirktousaw understand often commented many ways cannabis act flawed restrictive still
265,266,"RT @andrewjwilder: Bill #C45  has received Royal Assent by the Governor General. However, according to Prime Minister Trudeau recreational…",,andrewjwilder bill received royal assent governor general however according prime minister trudeau
266,267,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
267,268,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
268,269,Dr. Herman Johal @hermanjohal talking about the new research at @McMasterSurgery investigating the use of cannabis… https://t.co/HbZLAc3M7t,,herman johal hermanjohal talking new research mcmastersurgery investigating use https
269,270,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
270,271,"RT @JodieEmery: Want to know how to eliminate the illegal, massive, long-established “black market” cannabis industry?

Legalize it.

That’…",,jodieemery want know eliminate illegal massive black market cannabis industry legalize
271,272,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
272,273,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
273,274,RT @GovCanHealth: Check out the #TopTen things you need to know about the legalization and regulation of #cannabis in Canada. #C45 #Cannabi…,,govcanhealth check topten things need know legalization regulation cannabis canada
274,275,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
275,276,"RT @JodieEmery: The work's not done yet: legal pot advocate

“Pot advocate Jodie Emery says the vote may be historic, but for lawyers, civi…",,jodieemery work done yet legal pot advocate pot advocate jodie emery says vote may historic lawyers
276,277,"RT @GPTaylorMRD: C’est maintenant officiel, la loi sur le cannabis a reçu la sanction royale ce matin. Le cannabis sera légal au Canada le…",,gptaylormrd est maintenant officiel loi sur cannabis reçu sanction royale matin cannabis sera légal canada
277,278,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
278,279,"RT @JodieEmery: Want to know how to eliminate the illegal, massive, long-established “black market” cannabis industry?

Legalize it.

That’…",,jodieemery want know eliminate illegal massive black market cannabis industry legalize
279,280,RT @SenateCA: Bill #C45 has received Royal Assent:  https://t.co/SHR9GLJrX0 #SenCA #cdnpoli https://t.co/zFxIRiF5iC,,senateca bill received royal assent https senca cdnpoli https
280,281,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
281,282,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
282,283,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
283,284,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
284,285,RT @GPTaylorMRD: It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on October…,,gptaylormrd official cannabis act received royal assent law cannabis become legal canada
285,286,Catch #TeamCrestviewStrategy Partner @hckosovogta on @PnPCBC right now discussing cannabis legalisation after the p… https://t.co/63AmpIwKlw,,catch teamcrestviewstrategy partner hckosovogta pnpcbc right discussing cannabis legalisation https
286,287,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
287,288,"RT @JodieEmery: I’ll be on @CPAC_TV momentarily to discuss the #CannabisAct #C45 — the good, the bad, and the ugly of the new criminal laws…",,jodieemery momentarily discuss cannabisact good bad ugly new criminal
288,289,It’s official! The Cannabis Act has received Royal Assent and is now law. Cannabis will become legal in Canada on O… https://t.co/qbEuNISSPz,,official cannabis act received royal assent law cannabis become legal canada https
289,290,"RT @IDPCnet: As Canada's bill #C45 on the legal regulation of cannabis heads for royal assent (a formality), worth remembering which other…",,idpcnet canada bill legal regulation cannabis heads royal assent formality worth remembering
290,291,"C’est maintenant officiel, la loi sur le cannabis a reçu la sanction royale ce matin. Le cannabis sera légal au Can… https://t.co/TG6ftYZVPZ",,est maintenant officiel loi sur cannabis reçu sanction royale matin cannabis sera légal https
291,292,Hear the great news from our neighbors to the north? Congrats!Contact for private sale. #Canada #CannabisAct… https://t.co/4iHYbwsfdE,,hear great news neighbors north congrats contact private sale canada https
292,293,"RT @_deepakanand: 💥History has been made as #C45 #CannabisAct receives Royal Assent by @GGJuliePayette.💥 
Regulations : Wednesday June 27th…",,made cannabisact receives royal assent regulations wednesday june
293,294,"@nationalpost So basically ... it appears, after reading this article ... that it would be perfectly OK if a surgeo… https://t.co/Q8NQimQtr5",,nationalpost basically appears reading article would perfectly https
294,295,RT @mmjmikeelkin: @PeaceNaturals #Stayner 265k square foot expansion site is by far the most advanced and well thought design I have seen i…,,mmjmikeelkin peacenaturals stayner square foot expansion site far advanced well thought design seen
295,296,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
296,297,"RT @JodieEmery: Still waiting for a Trudeau to decriminalize pot... 

I wrote this 6 YEARS ago, and @JustinTrudeau still refuses to end unj…",,jodieemery still waiting trudeau decriminalize pot wrote years ago justintrudeau still refuses end
297,298,"RT @DonDavies: This week Parliament passed #C45. This bill will positively change 100 years of legal, social &amp; economic attitudes toward #c…",,dondavies week parliament passed bill positively change years legal social amp economic attitudes toward
298,299,"RT @JodieEmery: Letter to @JustinTrudeau — one of a few I’ve written — asking for an end to unjust cannabis possession arrests.

This was m…",,jodieemery letter justintrudeau one written asking end unjust cannabis possession arrests
299,300,"Bill #C45  has received Royal Assent by the Governor General. However, according to Prime Minister Trudeau recreati… https://t.co/lKVitNyezU",,bill received royal assent governor general however according prime minister trudeau https
300,301,RT @greenflwrmedia: These #Mayors and #Governors support #Legalization efforts and are demanding the #federal government to do something ab…,,greenflwrmedia mayors governors support legalization efforts demanding federal government something
301,302,RT @robinlauri: Legalizing cannabis seems to be insanely lucrative and it obviously prevents criminals from selling to minors. Next up is C…,,robinlauri legalizing cannabis seems insanely lucrative obviously prevents criminals selling minors next
302,303,"RT @trinafraser: #Cannabis #Legalization by Province/Territory
**UPDATED AS OF JUNE 5/18**
Link to .pdf version with embedded links:
https:…",,trinafraser cannabis legalization june link version embedded links https
303,304,RT @RxLeafCA: Who else feels the same way? #cannabis #marijuana #mmj #legalization https://t.co/8cE4i5Nmvn,,rxleafca else feels way cannabis marijuana mmj legalization https
304,305,@VICE #GMIWH host @pot_handbook weighs in on #Canada upcoming #Marijuana #Legalization. 12 #Podcast guests in total… https://t.co/Aso9Z5NNUX,,vice gmiwh host weighs canada upcoming marijuana legalization podcast guests https
305,306,RT @CannabisCulture: Canada Becomes Second Nation in the World to Legalize Marijuana #legalization #legal #law #Canada https://t.co/N6ngev5…,,cannabisculture canada becomes second nation world legalize marijuana legalization legal law canada https
306,307,"RT @CannTrust: From the foundations of standardized product, #CannTrust will make a leap into the recreational market.  #Cannabis #Legaliza…",,canntrust foundations standardized product canntrust make leap recreational market cannabis
307,308,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
308,309,C’est grave l’odeur du #pot ici. Ça y est c’est déjà le feu. #legalization,,est grave odeur pot ici est est déjà feu legalization
309,310,RT @apenn034: Canadian companies face 'big learning curve' on employee pot use: HR expert https://t.co/e2QAjYfqI6 #Cannabis #legalization #…,,canadian companies face learning curve employee pot use expert https cannabis legalization
310,311,@CBCNews True. But weed has been around for years. It’s just getting legalized. People are acting like it’s just be… https://t.co/Gwo3lWHoWo,,cbcnews true weed around years getting legalized people acting like https
311,312,RT @daviddinenberg: 1000% @RoKhanna This is the year for real #change The time has come &amp; the #American people have spoken. Over 60% are in…,,daviddinenberg rokhanna year real change time come amp american people spoken
312,313,"RT @660NEWS: Legalization of recreational cannabis is 118 days away, and Alberta is ready to go. #yyc #ableg #cannabis #legalization https:…",,legalization recreational cannabis days away alberta ready yyc ableg cannabis legalization https
313,314,These #Mayors and #Governors support #Legalization efforts and are demanding the #federal government to do somethin… https://t.co/D14OQEns6M,,mayors governors support legalization efforts demanding federal government https
314,315,What #Pot #Marijuana #MJ #Legalization in #Canada Means for the #UnitedStates.https://t.co/5aQ1EO4Gyf via @RollingStone,,pot marijuana legalization canada means via rollingstone
315,316,RT @daviddinenberg: 1000% @RoKhanna This is the year for real #change The time has come &amp; the #American people have spoken. Over 60% are in…,,daviddinenberg rokhanna year real change time come amp american people spoken
316,317,Canadian companies face 'big learning curve' on employee pot use: HR expert https://t.co/e2QAjYfqI6 #Cannabis #legalization #HR,,canadian companies face learning curve employee pot use expert https cannabis legalization
317,318,"Doug Ford wants consultations on cannabis sales in Ontario 
But..we already paid for that #CannabisTaskforce read t… https://t.co/2RIvv6fWzI",,doug ford wants consultations cannabis sales ontario already paid cannabistaskforce read https
318,319,Will @fordnation realize the start up waste and how integrating the existing industry would create more jobs and cu… https://t.co/sCYtTYHwZA,,fordnation realize start waste integrating existing industry would create jobs https
319,320,"RT @660NEWS: Legalization of recreational cannabis is 118 days away, and Alberta is ready to go. #yyc #ableg #cannabis #legalization https:…",,legalization recreational cannabis days away alberta ready yyc ableg cannabis legalization https
320,321,RT @CannabisCulture: Canada Becomes Second Nation in the World to Legalize Marijuana #legalization #legal #law #Canada https://t.co/N6ngev5…,,cannabisculture canada becomes second nation world legalize marijuana legalization legal law canada https
321,322,"Legalization of recreational cannabis is 118 days away, and Alberta is ready to go. #yyc #ableg #cannabis… https://t.co/dzJBJGeheF",,legalization recreational cannabis days away alberta ready yyc ableg https
322,323,RT @robinlauri: Legalizing cannabis seems to be insanely lucrative and it obviously prevents criminals from selling to minors. Next up is C…,,robinlauri legalizing cannabis seems insanely lucrative obviously prevents criminals selling minors next
323,324,RT @420partypeople: #wakeandbake #gethigh #Coffee #cannabis #marijuana #mmj #pot #puffandpass #weed #weedsociety #weedstagram #stonerfam #s…,,wakeandbake gethigh coffee cannabis marijuana mmj pot puffandpass weed weedsociety weedstagram stonerfam
324,325,A bill allowing doctors to prescribe and pharmacies to provide patients with FDA-approved CBD medicine has just pas… https://t.co/KejyhLJ5Cn,,bill allowing doctors prescribe pharmacies provide patients cbd medicine https
325,326,"RT @FNGhadaki: COO of @Aurora_MMJ, @CamBattley, shared some thoughts on #cannabis in #Canada:
- victory of #legalization
- need for an amne…",,fnghadaki coo cambattley shared thoughts cannabis canada victory legalization need
326,327,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
327,328,Expect more of these c/o @jeffsessions as #Canada has legalized recreational use. #decriminalization #legalization… https://t.co/ANuPQqO5Hd,,expect jeffsessions canada legalized recreational use decriminalization https
328,329,"RT @LRLaverdeHansen: One of my biggest concerns re: the #legalization of #marijuana, or #cannabis products. You’ve heard of Big Tobacco? Ge…",,lrlaverdehansen one biggest concerns legalization marijuana cannabis products heard big tobacco
329,330,"RT @TheSupremeFIRE: Lots of great ideas being shared today. Here's @john_fowler_jd dropping some knowledge at @ideacity. 

 #qualitymatters…",,thesupremefire lots great ideas shared today dropping knowledge ideacity
330,331,Thank you @sabrinarmf and @yvrscreenscene for this piece about #BudEmpire! Airing Tuesdays on @HistoryTVCanada 10pm… https://t.co/cBzJhaWbDg,,thank sabrinarmf yvrscreenscene piece budempire airing tuesdays historytvcanada https
331,332,I bet Canada does Pass Pass Puff. #JustAThought #Legalization,,bet canada pass pass puff justathought legalization
332,333,RT @daviddinenberg: 1000% @RoKhanna This is the year for real #change The time has come &amp; the #American people have spoken. Over 60% are in…,,daviddinenberg rokhanna year real change time come amp american people spoken
333,334,Stupid bloody politicians stating about really strong #cannabis... but that IS the point FOR the legalisation! 🌿#bbcqt  #legalization,,stupid bloody politicians stating really strong cannabis point legalisation bbcqt legalization
334,335,RT @qnp: Make sure you hop on the #Cannabus for #CannabisFest sponsored by @AmpleOrganics &amp; @HelloMD_com. Great networking opportunity! So…,,qnp make sure hop cannabus cannabisfest sponsored ampleorganics amp great networking opportunity
335,336,"RT @CannaBizSocial: Lisa Campbell, @qnp is the Cannabis Portfolio Specialist at Lifford Wine &amp; Spirits, helping Canadian #cannabis companie…",,cannabizsocial lisa campbell qnp cannabis portfolio specialist lifford wine amp spirits helping canadian cannabis
336,337,"COO of @Aurora_MMJ, @CamBattley, shared some thoughts on #cannabis in #Canada:
- victory of #legalization
- need fo… https://t.co/Pw6F3JG6jZ",,coo cambattley shared thoughts cannabis canada victory legalization need https
337,338,"RT @MrGrips: Is the legalization of #marijuana more about controlling a substance or who can sell it?
#legalization #canada #canpoli",,mrgrips legalization marijuana controlling substance sell legalization canada canpoli
338,339,RT @ChristyandFras: Marijuana will be legal in Canada on October 17th. #legalization #CannabisAct https://t.co/sCmXmcoN6G,,christyandfras marijuana legal canada october legalization cannabisact https
339,340,Way to step up Canada #CannabisCures #legalization,,way step canada cannabiscures legalization
340,341,"RT @KirkTousaw: I understand and have often commented on the many ways the Cannabis Act is flawed and too restrictive. 

But it still repre…",,kirktousaw understand often commented many ways cannabis act flawed restrictive still
341,342,RT @TheoMoudakis: Here's Friday's #Marijuana cartoon in @TorontoStar #legalization https://t.co/5AraLDToTZ,,theomoudakis friday marijuana cartoon torontostar legalization https
342,343,RT @OttawaCannabis: #MakeAmericaGreatAgain #NorthAmerica #SouthAmerica #CentralAmerica #Mexico #Canada #California #Colorado #Oregon #Canad…,,ottawacannabis makeamericagreatagain northamerica southamerica centralamerica mexico canada california colorado oregon
343,344,"RT @headsetio: The Cannabis Act passes in a 52-29 vote in the Senate 👏
https://t.co/cYvAWO3zjQ
Let's give it up to Canada for showing the w…",,headsetio cannabis act passes vote senate https let give canada showing
344,345,RT @daviddinenberg: 1000% @RoKhanna This is the year for real #change The time has come &amp; the #American people have spoken. Over 60% are in…,,daviddinenberg rokhanna year real change time come amp american people spoken
345,346,"Thought, just because its going to be legal doesn’t mean you have to use it or that it’s good for you. Maybe, just… https://t.co/H4uPw4kCJs",,thought going legal mean use good maybe https
346,347,RT @SuburbanFinance: Are there any stable #cannabis careers? Here is what you need to know about the industry and the #jobs available: http…,,suburbanfinance stable cannabis careers need know industry jobs available
347,348,RT @daviddinenberg: 1000% @RoKhanna This is the year for real #change The time has come &amp; the #American people have spoken. Over 60% are in…,,daviddinenberg rokhanna year real change time come amp american people spoken
348,349,RT @OttawaCannabis: #MakeAmericaGreatAgain #NorthAmerica #SouthAmerica #CentralAmerica #Mexico #Canada #California #Colorado #Oregon #Canad…,,ottawacannabis makeamericagreatagain northamerica southamerica centralamerica mexico canada california colorado oregon
349,350,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
350,351,"Let's talk community ...  
#legalization #cannabis https://t.co/3Az5MWloT4",,let talk community legalization cannabis https
351,352,WILL #MARIJUANA BE LEGAL IN THE U.S. ANYTIME SOON? #CANADA LAW REVIVES TALK OF WEED #LEGALIZATION NATIONWIDE https://t.co/9gVaqqzVZU,,marijuana legal anytime soon canada law revives talk weed legalization nationwide https
352,353,"One of my biggest concerns re: the #legalization of #marijuana, or #cannabis products. You’ve heard of Big Tobacco?… https://t.co/kgStDH4iOj",,one biggest concerns legalization marijuana cannabis products heard big tobacco https
353,354,#findthecures #makeitlegal #cbdoil #healthyoptions #CANNABIS #ThursdayThoughts #legalization #marijuana #thc #CBD… https://t.co/cPqTyj4XO4,,findthecures makeitlegal cbdoil healthyoptions cannabis thursdaythoughts legalization marijuana thc https
354,355,"RT @KirkTousaw: I understand and have often commented on the many ways the Cannabis Act is flawed and too restrictive. 

But it still repre…",,kirktousaw understand often commented many ways cannabis act flawed restrictive still
355,356,RT @TheoMoudakis: Here's Friday's #Marijuana cartoon in @TorontoStar #legalization https://t.co/5AraLDToTZ,,theomoudakis friday marijuana cartoon torontostar legalization https
356,357,#MakeAmericaGreatAgain #NorthAmerica #SouthAmerica #CentralAmerica #Mexico #Canada #California #Colorado #Oregon… https://t.co/LLtGtsvDIF,,makeamericagreatagain northamerica southamerica centralamerica mexico canada california colorado https
357,358,RT @SuburbanFinance: Are there any stable #cannabis careers? Here is what you need to know about the industry and the #jobs available: http…,,suburbanfinance stable cannabis careers need know industry jobs available
358,359,Are there any stable #cannabis careers? Here is what you need to know about the industry and the #jobs available:… https://t.co/ulmGOtJFVs,,stable cannabis careers need know industry jobs available https
359,360,"RT @FEARCastJ: Rejoice, my fellow Canadians! The time is drawing near! #madeincanada #Canada
#WednesdayWisdom #BoycottUSA #legalization @FY…",,fearcastj rejoice fellow canadians time drawing near madeincanada canada wednesdaywisdom boycottusa legalization
360,361,"RT @Remploymentlaw: Bill C-45, the govt’s #marijuana #legalization #bill passed in a historic #Senate #vote (52-29) on June 19, resulting i…",,remploymentlaw bill govt marijuana legalization bill passed historic senate vote june resulting
361,362,RT @TheGreenDailyy: Well it’s official #Canada Trudeau announces Oct 17 2018 as the official date of #legalization of #cannabis. #StayCrisp…,,thegreendailyy well official canada trudeau announces oct official date legalization cannabis
362,363,RT @RxLeafCA: Who else feels the same way? #cannabis #marijuana #mmj #legalization https://t.co/8cE4i5Nmvn,,rxleafca else feels way cannabis marijuana mmj legalization https
363,364,RT @CannabisCulture: Canada Becomes Second Nation in the World to Legalize Marijuana #legalization #legal #law #Canada https://t.co/N6ngev5…,,cannabisculture canada becomes second nation world legalize marijuana legalization legal law canada https
364,365,"RT @Tokerwaredotcom: Voiceover guy that did 'this is your brain on drugs' PSA now wants #legalization

https://t.co/25dcWVXEbS

#tokerware",,tokerwaredotcom voiceover guy brain drugs psa wants legalization https tokerware
365,366,#Canada #CanadaCannabis #marijuana #cannabiscommunity #herb #legalmarijuana #legalcannabis #Trudeau announces Oct 1… https://t.co/8bPJZoiKgI,,canada canadacannabis marijuana cannabiscommunity herb legalmarijuana legalcannabis trudeau announces oct https
366,367,"From @ianrausten with @nytimes: Vote paves the way for #pot #legalization in Canada

https://t.co/RVTGUQu6vj",,ianrausten nytimes vote paves way pot legalization canada https
367,368,RT @RxLeafCA: Who else feels the same way? #cannabis #marijuana #mmj #legalization https://t.co/8cE4i5Nmvn,,rxleafca else feels way cannabis marijuana mmj legalization https
368,369,"RT @GTIGrows: Legal access to #medicalmarijuana helps reduce opioid need, use, addiction and related deaths.

Pass it on.
https://t.co/0ewS…",,gtigrows legal access medicalmarijuana helps reduce opioid need use addiction related deaths pass https
369,370,"RT @IDPCnet: As Canada's bill #C45 on the legal regulation of cannabis heads for royal assent (a formality), worth remembering which other…",,idpcnet canada bill legal regulation cannabis heads royal assent formality worth remembering
370,371,Canada becomes second nation in the world to legalize marijuana #legalization #Canada #PromiseKept… https://t.co/1Jy9gNRfxu,,canada becomes second nation world legalize marijuana legalization canada https
371,372,RT @BClarahan: Thanks to Trudeau new pot bill all Canada people that don't smoke pot have to suffer through stricter DUI laws and increased…,,bclarahan thanks trudeau new pot bill canada people smoke pot suffer stricter dui laws
372,373,RT @DSouthAfrica: #Dagga #Cannabis #SouthAfrica #legalizeit #CannabisWorks2018 #breakthetaboo #StonerFam #Weed #CannabisCommunity #legaliza…,,dsouthafrica dagga cannabis southafrica legalizeit breakthetaboo stonerfam weed cannabiscommunity
373,374,News roundup: Gravitational-Wave Observatory named a historic site … Canada prepares for #marijuana #legalization …… https://t.co/cH8Eq1tuZs,,news roundup observatory named historic site canada prepares marijuana legalization https
374,375,"RT @Kunzitoons: #StonerFam 

Mark your calendar Oct 17, 2018  is Canada’s official date of #legalization of #Cannabis…….WooHOOo! 

Wouldn’t…",,kunzitoons stonerfam mark calendar oct canada official date legalization
375,376,"Looking forward to returning to the Metro Toronto Convention Centre for #MjBizConIntl !!

Will you be in attendance… https://t.co/byNfdiPbq7",,looking forward returning metro toronto convention centre mjbizconintl https
376,377,Does this mean Canadian geese will be the new weed traffickers into the US? #legalization #canada,,mean canadian geese new weed traffickers legalization canada
377,378,Thanks to Trudeau new pot bill all Canada people that don't smoke pot have to suffer through stricter DUI laws and… https://t.co/n6O8Y96Qc4,,thanks trudeau new pot bill canada people smoke pot suffer stricter dui laws https
378,379,"RT @evergreen_law: There is a green wave across the nation &amp; globe 
#legalization #decriminalize #history #cannabis
https://t.co/392hXJTFIj",,green wave across nation amp globe legalization decriminalize history cannabis https
379,380,"RT @evergreen_law: There is a green wave across the nation &amp; globe 
#legalization #decriminalize #history #cannabis
https://t.co/392hXJTFIj",,green wave across nation amp globe legalization decriminalize history cannabis https
380,381,Are there any stable #cannabis careers? Here's what you need to know about the #mairjuana industry and the #jobs av… https://t.co/i4hYPhplaX,,stable cannabis careers need know mairjuana industry jobs https
381,382,"be proud, Canada! 🇨🇦 #legalization #420 #oct17",,proud canada legalization
382,383,"Legal access to #medicalmarijuana helps reduce opioid need, use, addiction and related deaths.

Pass it on.… https://t.co/YEuDxXHDmZ",,legal access medicalmarijuana helps reduce opioid need use addiction related deaths pass https
383,384,At least #FakeNews got something right with #legalization !! Canadians now lots more laws for the price of being al… https://t.co/7l8dKnIzru,,least fakenews got something right legalization canadians lots laws price https
384,385,@NORMLcanada Official statement on legalization announcement.  Please let us know your thoughts. #cannabis #BillC45… https://t.co/ZX9VajR6U4,,normlcanada official statement legalization announcement please let know thoughts cannabis https
385,386,Criminal Lawyers Association seems bigoted! They say increased roadside police powers ( not #legalization its monop… https://t.co/fYWBsP8Icu,,criminal lawyers association seems bigoted say increased roadside police powers legalization https
386,387,RT @KCSA_Cannabis: Massachusetts is launching its adult-use #cannabis market on July 1st – but zero commercial business licenses have been…,,massachusetts launching cannabis market july zero commercial business licenses
387,388,#HASHtag get it? HASHtag. #cannabis #marijuana #legalization #hemp #CBD #hashish #shatter #dabs #bonghits #satchel… https://t.co/3ImRNXF97a,,hashtag get hashtag cannabis marijuana legalization hemp cbd hashish shatter dabs bonghits https
388,389,"There is a green wave across the nation &amp; globe 
#legalization #decriminalize #history #cannabis
https://t.co/392hXJTFIj",,green wave across nation amp globe legalization decriminalize history cannabis https
389,390,Massachusetts is launching its adult-use #cannabis market on July 1st – but zero commercial business licenses have… https://t.co/mbq6dgwx5i,,massachusetts launching cannabis market july zero commercial business licenses https
390,391,Good to know we have progressive leadership like @JustinTrudeau ... in October cannabis will be legal in the entire… https://t.co/iVmEVyXH87,,good know progressive leadership like justintrudeau october cannabis legal https
391,392,RT @BClarahan: It's not #legalization it's monopolization for a few large growers. Second it's created like 50 new regulations and 3 new im…,,bclarahan legalization monopolization large growers second created like new regulations new
392,393,"RT @Tokerwaredotcom: Voiceover guy that did 'this is your brain on drugs' PSA now wants #legalization

https://t.co/25dcWVXEbS

#tokerware",,tokerwaredotcom voiceover guy brain drugs psa wants legalization https tokerware
393,394,"Voiceover guy that did 'this is your brain on drugs' PSA now wants #legalization

https://t.co/25dcWVXEbS

#tokerware",,voiceover guy brain drugs psa wants legalization https tokerware
394,395,It's not #legalization it's monopolization for a few large growers. Second it's created like 50 new regulations and… https://t.co/HXpI2tCSvG,,legalization monopolization large growers second created like new regulations https
395,396,RT @can2biz: #support #Oklahoma #cannabis #legalization https://t.co/QDAHNwDBsb,,support oklahoma cannabis legalization https
396,397,#support #Oklahoma #cannabis #legalization https://t.co/QDAHNwDBsb,,support oklahoma cannabis legalization https
397,398,"Legalization &amp; Risks: Doctors Reminding Public
 That Health Effects of Cannabis Use Are Real… https://t.co/KxkAdqZ4qh",,legalization amp risks doctors reminding public health effects cannabis use https
398,399,"RT @CannaBizSocial: Lisa Campbell, @qnp is the Cannabis Portfolio Specialist at Lifford Wine &amp; Spirits, helping Canadian #cannabis companie…",,cannabizsocial lisa campbell qnp cannabis portfolio specialist lifford wine amp spirits helping canadian cannabis
399,400,"RT @TheSupremeFIRE: Lots of great ideas being shared today. Here's @john_fowler_jd dropping some knowledge at @ideacity. 

 #qualitymatters…",,thesupremefire lots great ideas shared today dropping knowledge ideacity
400,401,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
401,402,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
402,403,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
403,404,Let the countdown to October 17 begin! #Canada #CannabisAct #October17 #cannabis #Legalization #Trudeau… https://t.co/ew0Dtm4YSL,,let countdown october begin canada cannabisact cannabis legalization https
404,405,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
405,406,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
406,407,"RT @CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be able to bring it acros…",,canborder even though cannabis legal regulated canada near future still able bring
407,408,"RT @sociallifenqueb: RT CanBorder: Even though #cannabis will be legal and regulated in Canada in the near
future, you will still not be ab…",,sociallifenqueb canborder even though cannabis legal regulated canada near future still
